department,municipality,crop,period,yield_t_ha,relative_yield,avg_temperature,total_precipitation,pest_alert,pest_name,species;;;;
Huila,Municipio_1,Maíz,2020A,2.03,0.6151515151515151,20.703035714285715,20.150752688172044,1,,;;;;
Tolima,Municipio_2,Tomate,2021B,1.16,0.2552255225522552,20.026666666666667,21.05457831325301,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Huila,Municipio_15,Caña de azúcar,2022B,2.26,0.4593495934959349,19.851956521739133,20.389647058823527,1,,;;;;
Huila,Municipio_18,Cebolla,2023A,2.48,0.5754060324825986,19.474050632911393,20.17782608695652,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Nariño,Municipio_19,Tomate,2021A,3.37,0.6955624355005161,20.018333333333334,18.830140845070424,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Boyacá,Municipio_20,Caña de azúcar,2020A,1.7,0.3926096997690531,19.69450980392157,20.367727272727272,1,,;;;;
Cauca,Municipio_23,Arroz,2021B,1.8,0.4031354983202688,19.6708,19.354285714285716,1,,;;;;
Boyacá,Municipio_28,Tomate,2023A,0.95,0.25435073627844706,18.263653846153847,19.01311475409836,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Nariño,Municipio_29,Papa,2020A,2.02,0.47980997624703087,19.68257575757576,20.537560975609754,1,,;;;;
Boyacá,Municipio_33,Papa,2021B,0.61,0.1519302615193026,20.243703703703705,20.21061224489796,1,,;;;;
Antioquia,Municipio_40,Café,2022A,2.4,0.498960498960499,20.358852459016394,19.217837837837838,1,,;;;;
Valle del Cauca,Municipio_43,Plátano,2023B,2.55,0.6657963446475196,19.20550724637681,19.326533333333334,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_47,Tomate,2022A,0.86,0.2033096926713948,19.10884615384615,20.598727272727274,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Nariño,Municipio_4,Maíz,2021A,0.74,0.1513292433537832,20.018333333333334,18.830140845070424,1,,;;;;
Cundinamarca,Municipio_5,Caña de azúcar,2020B,2.84,0.6698113207547169,19.98813559322034,20.099622641509434,1,,;;;;
Cauca,Municipio_13,Tomate,2023B,1.47,0.34751773049645385,19.20607843137255,20.422608695652176,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_15,Tomate,2019A,0.89,0.19646799116997796,20.181408450704225,19.79,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_17,Maíz,2021B,2.28,0.6504992867332382,18.87890625,20.003529411764706,1,,;;;;
Nariño,Municipio_22,Papa,2021A,1.53,0.36342042755344417,20.018333333333334,18.830140845070424,1,,;;;;
Boyacá,Municipio_28,Cebolla,2024A,0.53,0.13118811881188122,19.69103448275862,20.792575757575758,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_30,Café,2019B,0.95,0.21348314606741572,20.169999999999998,19.436666666666667,1,,;;;;
Tolima,Municipio_34,Plátano,2019B,0.65,0.18895348837209303,19.906478873239436,19.50090909090909,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_40,Caña de azúcar,2019B,1.11,0.2540045766590389,20.090631578947367,19.092380952380953,1,,;;;;
Huila,Municipio_42,Maíz,2022A,0.71,0.21515151515151515,20.970761904761904,19.92223880597015,1,,;;;;
Valle del Cauca,Municipio_45,Papa,2023B,1.94,0.42219804134929273,19.20550724637681,19.326533333333334,1,,;;;;
Antioquia,Municipio_46,Plátano,2024A,0.63,0.15949367088607594,19.41078125,19.938644067796613,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Huila,Municipio_6,Cebolla,2023A,2.04,0.4733178654292343,19.474050632911393,20.17782608695652,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Tolima,Municipio_9,Café,2023A,2.25,0.5548705302096177,20.069375,18.745662650602412,1,,;;;;
Huila,Municipio_11,Tomate,2020B,1.18,0.3246217331499312,19.882038834951455,20.447157894736844,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Antioquia,Municipio_18,Cebolla,2021B,0.58,0.1377672209026128,20.880289855072466,20.533137254901963,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Tolima,Municipio_21,Plátano,2019B,0.54,0.1569767441860465,19.906478873239436,19.50090909090909,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Tolima,Municipio_22,Plátano,2022B,1.53,0.44476744186046513,20.680860215053762,18.51787878787879,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_23,Tomate,2019B,0.59,0.1217750257997936,20.090631578947367,19.092380952380953,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Boyacá,Municipio_25,Tomate,2020B,0.53,0.14190093708165996,19.692,19.989056603773587,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Tolima,Municipio_29,Plátano,2024A,2.0,0.5813953488372093,21.651444444444447,19.802235294117647,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cundinamarca,Municipio_32,Arroz,2024A,2.68,0.5690021231422505,18.88375,19.75709677419355,1,,;;;;
Valle del Cauca,Municipio_35,Maíz,2020B,2.25,0.6419400855920114,19.326249999999998,18.41060606060606,1,,;;;;
Boyacá,Municipio_36,Arroz,2021A,3.03,0.6273291925465838,19.124363636363636,19.874307692307692,1,,;;;;
Antioquia,Municipio_47,Cebolla,2021B,2.48,0.5890736342042755,20.880289855072466,20.533137254901963,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Huila,Municipio_48,Café,2022A,2.22,0.5368802902055624,20.970761904761904,19.92223880597015,1,,;;;;
Cundinamarca,Municipio_49,Plátano,2024A,1.69,0.43222506393861887,18.88375,19.75709677419355,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Antioquia,Municipio_6,Caña de azúcar,2019B,0.98,0.23931623931623927,19.741891891891893,19.624179104477612,1,,;;;;
Nariño,Municipio_14,Café,2021A,0.92,0.18756371049949036,20.018333333333334,18.830140845070424,1,,;;;;
Huila,Municipio_22,Cebolla,2021B,1.61,0.37354988399071926,19.25777777777778,19.900219780219782,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Tolima,Municipio_24,Papa,2024A,2.6,0.6467661691542289,21.651444444444447,19.802235294117647,1,,;;;;
Nariño,Municipio_25,Papa,2021A,2.76,0.6555819477434679,20.018333333333334,18.830140845070424,1,,;;;;
Tolima,Municipio_33,Caña de azúcar,2023A,1.55,0.3555045871559633,20.069375,18.745662650602412,1,,;;;;
Antioquia,Municipio_38,Cebolla,2019B,1.67,0.39667458432304037,19.741891891891893,19.624179104477612,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Valle del Cauca,Municipio_43,Maíz,2022B,0.67,0.19115549215406563,19.527916666666666,20.646349206349207,1,,;;;;
Cundinamarca,Municipio_47,Caña de azúcar,2023B,0.88,0.20754716981132074,19.91877192982456,20.49142857142857,1,,;;;;
Valle del Cauca,Municipio_48,Plátano,2024A,1.91,0.49869451697127937,20.928125,20.160983606557377,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_0,Arroz,2020A,2.87,0.5435606060606061,18.32952380952381,19.294457831325303,1,,;;;;
Nariño,Municipio_2,Cebolla,2023B,1.92,0.5189189189189188,20.486489361702127,20.89241379310345,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_7,Cebolla,2022A,2.57,0.5894495412844036,19.10884615384615,20.598727272727274,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Valle del Cauca,Municipio_8,Arroz,2023A,1.03,0.19507575757575757,20.253103448275862,21.377042253521125,1,,;;;;
Huila,Municipio_12,Arroz,2023B,1.09,0.2567726737338045,20.161704545454544,20.32278350515464,1,,;;;;
Nariño,Municipio_18,Maíz,2022B,2.5,0.5112474437627811,19.881125,18.810873786407768,1,,;;;;
Antioquia,Municipio_20,Café,2020B,3.36,0.6985446985446986,20.322758620689655,20.69054054054054,1,,;;;;
Tolima,Municipio_22,Caña de azúcar,2021A,1.79,0.4105504587155963,21.329101123595507,20.579638554216867,1,,;;;;
Huila,Municipio_26,Café,2020B,2.28,0.5513905683192261,19.882038834951455,20.447157894736844,1,,;;;;
Boyacá,Municipio_28,Maíz,2019A,2.33,0.5966709346991037,18.896562499999998,18.882083333333334,1,,;;;;
Nariño,Municipio_30,Papa,2019A,1.32,0.3135391923990499,20.372999999999998,20.75675,1,,;;;;
Cundinamarca,Municipio_32,Café,2019B,1.85,0.42725173210161665,20.972285714285714,20.428955223880596,1,,;;;;
Nariño,Municipio_37,Cebolla,2019A,0.5,0.13513513513513511,20.372999999999998,20.75675,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Valle del Cauca,Municipio_38,Caña de azúcar,2021A,0.55,0.125,19.562539682539683,19.55327868852459,1,,;;;;
Tolima,Municipio_39,Caña de azúcar,2021B,2.56,0.5871559633027522,20.026666666666667,21.05457831325301,1,,;;;;
Huila,Municipio_48,Caña de azúcar,2023A,3.29,0.6686991869918699,19.474050632911393,20.17782608695652,1,,;;;;
Cundinamarca,Municipio_49,Plátano,2022A,2.08,0.5319693094629157,19.109322033898305,20.18279411764706,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Tolima,Municipio_4,Café,2019B,2.19,0.5400739827373613,19.906478873239436,19.50090909090909,1,,;;;;
Valle del Cauca,Municipio_20,Papa,2024A,2.7,0.58759521218716,20.928125,20.160983606557377,1,,;;;;
Cundinamarca,Municipio_21,Arroz,2021B,1.16,0.2462845010615711,19.52462962962963,20.04092307692308,1,,;;;;
Antioquia,Municipio_22,Papa,2021B,2.4,0.5620608899297425,20.880289855072466,20.533137254901963,1,,;;;;
Cauca,Municipio_23,Arroz,2019A,0.61,0.1366181410974244,20.72262295081967,19.674705882352942,1,,;;;;
Cundinamarca,Municipio_28,Arroz,2020B,1.76,0.3736730360934183,19.98813559322034,20.099622641509434,1,,;;;;
Valle del Cauca,Municipio_30,Tomate,2022B,1.91,0.42163355408388525,19.527916666666666,20.646349206349207,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Nariño,Municipio_31,Tomate,2022A,0.54,0.11145510835913314,20.219638554216868,19.06581081081081,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Nariño,Municipio_33,Cebolla,2022A,0.7,0.18918918918918917,20.219638554216868,19.06581081081081,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Antioquia,Municipio_36,Café,2023A,3.28,0.681912681912682,19.81875,19.040714285714284,1,,;;;;
Cauca,Municipio_42,Café,2019A,1.31,0.2943820224719101,20.72262295081967,19.674705882352942,1,,;;;;
Boyacá,Municipio_44,Caña de azúcar,2023A,2.29,0.5288683602771362,18.263653846153847,19.01311475409836,1,,;;;;
Boyacá,Municipio_45,Cebolla,2021B,0.78,0.19306930693069313,20.243703703703705,20.21061224489796,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Valle del Cauca,Municipio_48,Papa,2023A,2.12,0.46137105549510343,20.253103448275862,21.377042253521125,1,,;;;;
Valle del Cauca,Municipio_0,Maíz,2019A,2.2,0.6276747503566334,20.181408450704225,19.79,1,,;;;;
Cundinamarca,Municipio_2,Papa,2019B,3.13,0.6760259179265659,20.972285714285714,20.428955223880596,1,,;;;;
Boyacá,Municipio_4,Papa,2024A,2.06,0.5130759651307597,19.69103448275862,20.792575757575758,1,,;;;;
Tolima,Municipio_16,Plátano,2020B,1.86,0.5406976744186047,19.973684210526315,19.801704545454545,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_20,Café,2024A,2.85,0.6934306569343065,20.928125,20.160983606557377,1,,;;;;
Cundinamarca,Municipio_27,Papa,2021A,1.08,0.23326133909287258,19.247192982456138,19.495,1,,;;;;
