department,municipality,crop,yield_t_ha,relative_yield,avg_temperature,total_precipitation,pest_alert,pest_name,species,year,season,climate_risk,category_temp,category_rain
4,1,4,0.48571428571428565,0.8577477952625951,0.6392935404450437,0.6496326542644022,0,2,0,1,0,0,1,0
6,12,7,0.2095238095238095,0.24980981009143619,0.46203619146303954,0.9078677352889164,1,0,1,2,1,0,1,0
4,7,2,0.5587301587301586,0.5945884005962957,0.41624956471077734,0.7178879741508677,0,2,0,3,1,0,0,0
4,10,3,0.6285714285714286,0.7906151370211019,0.3172110349996702,0.6573678867414552,0,3,3,4,0,0,0,0
5,11,7,0.9111111111111111,0.9935669745046967,0.459852258623342,0.27231617103819517,0,0,1,2,0,0,1,0
1,13,2,0.38095238095238093,0.4818604583050248,0.3749871978054573,0.711625197812678,0,2,0,1,0,0,0,0
2,16,0,0.4126984126984127,0.49963920420034613,0.3687735234766052,0.4220713771469722,0,2,0,2,1,0,0,0
1,21,7,0.14285714285714285,0.24833224021404623,0.0,0.324594266405283,0,0,1,4,0,0,0,0
5,22,5,0.4825396825396825,0.6291472935945602,0.3718596191184469,0.7601489603698894,0,2,0,1,0,0,0,0
1,27,5,0.03492063492063491,0.07533751811662412,0.5189155089769342,0.6667353309890451,1,2,0,2,1,0,1,0
0,35,1,0.6031746031746031,0.6614937493459871,0.5490927667582532,0.38308639215389473,0,2,0,3,0,0,1,0
7,38,6,0.6507936507936507,0.9432901462909025,0.24683334851130034,0.41414215037469404,0,1,2,4,1,0,0,0
2,42,7,0.11428571428571427,0.16212065825127028,0.22150118839545296,0.7776249903183627,0,0,1,3,0,0,0,0
5,34,4,0.07619047619047617,0.07432236005605039,0.459852258623342,0.27231617103819517,0,2,0,2,0,0,1,0
3,45,2,0.7428571428571428,0.9500716973189149,0.4519382782652528,0.6350241154309053,0,2,0,1,1,0,0,0
2,5,7,0.3079365079365079,0.40569724278114483,0.24698304007166882,0.7273055550657528,0,0,1,4,1,0,0,0
7,7,7,0.12380952380952381,0.15056458752718435,0.5025896711229967,0.546560781687683,0,0,1,0,0,0,1,0
7,9,4,0.565079365079365,0.9174524386546858,0.16124039153547898,0.6075689932475568,0,2,0,2,1,0,0,0
5,15,5,0.326984126984127,0.4325579136034885,0.459852258623342,0.27231617103819517,0,2,0,2,0,0,1,0
1,21,3,0.009523809523809545,0.04030271455987661,0.37407641364350663,0.833010097580444,0,3,3,5,0,0,0,0
2,24,1,0.14285714285714285,0.1793042706798836,0.49959983630583427,0.4456087181147783,0,2,0,0,1,0,1,0
6,28,6,0.047619047619047616,0.1378721124505217,0.4305383431834624,0.4639636387643966,0,1,2,0,1,0,0,0
5,35,2,0.19365079365079368,0.24774755451226957,0.47879960016522105,0.3472416804285112,0,2,0,0,1,0,1,0
4,37,4,0.06666666666666665,0.18212225259940149,0.709457062776405,0.584343178896467,0,2,0,3,0,0,1,0
7,40,5,0.4571428571428571,0.531837056646658,0.24683334851130034,0.41414215037469404,0,2,0,4,1,0,0,0
0,41,6,0.04126984126984126,0.08811259951114933,0.30062990502915987,0.5890303818252463,0,1,2,5,0,0,0,0
4,46,3,0.48888888888888893,0.6181817038588019,0.3172110349996702,0.6573678867414552,0,3,3,4,0,0,0,0
6,49,1,0.5555555555555555,0.7559293623534921,0.47322884726648873,0.24817961992934734,0,2,0,4,0,0,1,0
4,3,7,0.21587301587301583,0.3670244412009964,0.4241332949169907,0.7343195898959207,0,0,1,1,1,0,0,0
0,10,3,0.02539682539682539,0.05141523811059437,0.685746877129426,0.758885044141242,1,3,3,2,1,0,1,0
6,14,6,0.012698412698412709,0.08386134959227223,0.4305383431834624,0.4639636387643966,0,1,2,0,1,0,0,0
6,15,6,0.326984126984127,0.5699582153165176,0.6334819643239218,0.1830987208994701,0,1,2,3,1,0,1,0
5,16,7,0.028571428571428553,0.024403399373799622,0.47879960016522105,0.3472416804285112,0,0,1,0,1,0,1,0
1,18,7,0.009523809523809545,0.058397348702305146,0.374329448620796,0.6034339182502055,0,0,1,1,1,0,0,0
6,22,6,0.47619047619047616,0.8007314748017654,0.887844856994958,0.5500565690167338,0,1,2,5,0,0,1,0
3,26,0,0.692063492063492,0.7797985252130055,0.16250980249855296,0.5371598895838154,0,2,0,5,0,0,0,0
7,29,4,0.5555555555555555,0.902995401365174,0.2784766362864808,0.15244946660718028,0,2,0,1,1,0,0,0
1,30,0,0.8031746031746031,0.8783166700086467,0.22556788515457793,0.5706486180467323,0,2,0,2,0,0,0,0
0,42,3,0.6285714285714286,0.8137005890963828,0.685746877129426,0.758885044141242,0,3,3,2,1,0,1,0
4,43,1,0.5460317460317461,0.7255426981900396,0.709457062776405,0.584343178896467,0,2,0,3,0,0,1,0
3,44,6,0.37777777777777777,0.548773338092182,0.16250980249855296,0.5371598895838154,0,1,2,5,0,0,0,0
0,46,2,0.15238095238095234,0.22293801479214673,0.38740471355727557,0.49918353191459097,0,2,0,0,1,0,0,0
5,6,1,0.13333333333333336,0.13552468887712546,0.459852258623342,0.27231617103819517,0,2,0,2,0,0,1,0
4,15,3,0.35238095238095235,0.4496672123592814,0.2605319881203014,0.5780520484605312,0,3,3,2,1,0,0,0
6,17,5,0.6666666666666666,0.9111469646793267,0.887844856994958,0.5500565690167338,0,2,0,5,0,0,1,0
5,18,5,0.7174603174603174,0.9260373776627095,0.459852258623342,0.27231617103819517,0,2,0,2,0,0,1,0
6,27,2,0.3333333333333333,0.4191875536930305,0.47322884726648873,0.24817961992934734,0,2,0,4,0,0,1,0
0,32,3,0.37142857142857133,0.48872630788665183,0.38740471355727557,0.49918353191459097,0,3,3,0,1,0,0,0
7,38,4,0.05396825396825397,0.1415914374508758,0.3313278110071547,0.7912312142913782,0,2,0,3,1,0,0,0
3,42,2,0.12063492063492065,0.1692780277317336,0.4337600083806423,0.7469683148991253,0,2,0,4,1,0,0,0
7,43,6,0.4476190476190476,0.6610444887814743,0.6982831263972971,0.6525557646132096,0,1,2,5,0,0,1,0
7,0,0,0.7523809523809524,0.7368261782518531,0.01726266913839769,0.404977750041164,0,2,0,1,0,0,0,0
5,12,3,0.45079365079365075,0.6952047951337554,0.5825428175581671,0.861535160909459,0,3,3,4,1,0,1,0
2,47,3,0.657142857142857,0.8143355201588891,0.22150118839545296,0.7776249903183627,0,3,3,3,0,0,0,0
7,48,0,0.16825396825396827,0.14821301608316165,0.5213789182796438,1.0,1,2,0,4,0,0,1,0
4,4,0,0.1873015873015873,0.2524230472329768,0.49742583043358923,0.6987841617338155,1,2,0,4,1,0,1,0
5,10,4,0.6349206349206349,0.6822471837202735,0.4238938044177267,0.26681131444109507,0,2,0,3,1,0,0,0
0,13,1,0.9079365079365079,0.998604207223672,0.5396335844983531,0.8038572700800248,0,2,0,1,1,0,1,0
6,15,2,0.4095238095238095,0.5121635458026442,0.803367717307867,0.7721710878902828,1,2,0,2,0,0,1,0
4,19,1,0.565079365079365,0.7500514845018843,0.4241332949169907,0.7343195898959207,0,2,0,1,1,0,0,0
1,21,4,0.580952380952381,0.8265329147703668,0.16586759923958816,0.2871568353134357,0,2,0,0,0,0,0,0
5,24,5,0.26031746031746034,0.34830532217874366,0.5528004402808602,0.822774199024777,1,2,0,0,0,0,1,0
3,26,1,0.4285714285714286,0.540373063039135,0.7098564104956644,0.7291188431445734,1,2,0,0,1,0,1,0
5,31,3,0.0,0.04696947717312386,0.5528004402808602,0.822774199024777,1,3,3,0,0,0,1,0
7,32,2,0.0158730158730159,0.029850586734022744,0.34040153197208856,0.4789263338995875,0,2,0,2,0,0,0,0
6,33,2,0.653968253968254,0.8104615204876551,0.46203619146303954,0.9078677352889164,0,2,0,2,1,0,1,0
4,43,2,0.8857142857142858,0.9481932323763209,0.3172110349996702,0.6573678867414552,0,2,0,4,0,0,0,0
3,44,6,0.5015873015873016,0.7172477381168916,0.2216259032042922,0.6587873196191056,0,1,2,3,0,0,0,0
6,34,1,0.5365079365079365,0.7309370488147796,0.4305383431834624,0.4639636387643966,0,2,0,0,1,0,0,0
7,13,5,0.6984126984126985,0.8112034399023857,0.6982831263972971,0.6525557646132096,0,2,0,5,0,0,1,0
3,14,0,0.2095238095238095,0.23470785384991935,0.33046637083149655,0.6182528639898939,0,2,0,2,1,0,0,0
0,15,5,0.6031746031746031,0.7680743390731242,0.685746877129426,0.758885044141242,0,2,0,2,1,0,1,0
2,16,0,0.03492063492063491,0.04947436894323501,0.6444268055376945,0.5136197087793226,0,2,0,0,0,0,1,0
3,21,0,0.4,0.44987522412482184,0.4519382782652528,0.6350241154309053,0,2,0,1,1,0,0,0
7,24,7,0.4476190476190476,0.5308836016091145,0.3313278110071547,0.7912312142913782,0,0,1,3,1,0,0,0
5,25,7,0.012698412698412709,0.006972399821085606,0.5126087085461508,0.33965023527493443,0,0,1,3,0,0,1,0
5,27,3,0.06349206349206346,0.13827022618166343,0.5126087085461508,0.33965023527493443,0,3,3,3,0,0,1,0
0,30,1,0.8825396825396824,0.9705116690671984,0.40754706711259203,0.332479822075868,0,2,0,4,0,0,0,0
2,37,1,0.2571428571428572,0.3159476388589565,0.6444268055376945,0.5136197087793226,0,2,0,0,0,0,1,0
1,39,2,0.5682539682539682,0.7120100369258586,0.0,0.324594266405283,0,2,0,4,0,0,0,0
1,40,3,0.0888888888888889,0.14482399281841526,0.5189155089769342,0.6667353309890451,1,3,3,2,1,0,1,0
7,43,5,0.5142857142857143,0.5980027789966988,0.5213789182796438,1.0,0,2,0,4,0,0,1,0
7,0,4,0.5396825396825398,0.8789003392159873,0.5025896711229967,0.546560781687683,0,2,0,0,0,0,1,0
3,12,5,0.8349206349206348,0.9605685487855737,0.7098564104956644,0.7291188431445734,0,2,0,0,1,0,1,0
1,34,5,0.49523809523809526,0.6853356730740531,0.37407641364350663,0.833010097580444,0,2,0,5,0,0,0,0
6,8,6,0.43174603174603177,0.7319905038912662,0.4481509763559117,0.5499049270183036,0,1,2,1,1,0,0,0
7,13,1,0.746031746031746,0.9899662643781137,0.6982831263972971,0.6525557646132096,0,2,0,5,0,0,1,0
3,20,5,0.18412698412698414,0.21271090166918774,0.25775801026777145,0.4622753323838902,0,2,0,2,0,0,0,0
1,22,0,0.06984126984126982,0.07050352117221945,0.3790883422752982,0.786815128401706,0,2,0,3,1,0,0,0
7,26,0,0.12063492063492065,0.1002282474281053,0.16124039153547898,0.6075689932475568,0,2,0,2,1,0,0,0
7,31,6,0.3587301587301587,0.5375620136210993,0.5146344897496444,0.5831787423675747,0,1,2,0,1,0,1,0
0,32,0,0.0158730158730159,0.032769475887233473,0.6433216078782618,0.6578610714336488,1,2,0,4,1,0,1,0
6,35,1,0.5682539682539682,0.7725909047126337,0.6334819643239218,0.1830987208994701,0,2,0,3,1,0,1,0
5,23,0,0.7904761904761906,0.9202009048496749,0.3718596191184469,0.7601489603698894,0,2,0,1,0,0,0,0
0,46,7,0.2634920634920635,0.3824453159077644,0.6268451232587697,0.3592886431729374,0,0,1,0,0,0,1,0
2,5,3,0.06984126984126982,0.09764558098061601,0.3778700940245816,0.9858949486539306,0,3,3,2,0,0,0,0
6,19,5,0.2793650793650793,0.39854549574332143,0.803367717307867,0.7721710878902828,1,2,0,2,0,0,1,0
6,20,1,0.37777777777777777,0.5226677693255091,0.5496004039515352,0.4160850014094928,0,2,0,4,1,0,1,0
0,27,0,0.565079365079365,0.7060599072278584,0.07033308036035546,0.6657032642628771,0,2,0,3,1,0,0,0
3,28,4,0.18412698412698414,0.23615215046198587,0.31975296695675937,0.6770819132972177,0,2,0,4,0,0,0,0
3,30,5,0.47619047619047616,0.5483348213506879,0.7098564104956644,0.7291188431445734,1,2,0,0,1,0,1,0
4,31,2,0.15555555555555556,0.1585902099549056,0.41624956471077734,0.7178879741508677,0,2,0,3,1,0,0,0
0,36,5,0.24761904761904763,0.3250411963431611,0.30062990502915987,0.5890303818252463,0,2,0,5,0,0,0,0
3,41,2,0.7396825396825397,0.9460880561475515,0.31975296695675937,0.6770819132972177,0,2,0,4,0,0,0,0
0,42,0,0.26031746031746034,0.33244209561687577,0.40754706711259203,0.332479822075868,0,2,0,4,0,0,0,0
7,43,2,0.2761904761904762,0.34463066911119233,0.01726266913839769,0.404977750041164,0,2,0,1,0,0,0,0
2,0,3,0.33015873015873015,0.4153135540217966,0.8847428159183348,0.7746451710045479,1,3,3,5,0,0,1,0
4,1,7,0.5333333333333333,0.8316912518359303,0.6392935404450437,0.6496326542644022,0,0,1,1,0,0,1,0
7,12,7,0.3936507936507936,0.46749709926212624,0.3313278110071547,0.7912312142913782,0,0,1,3,1,0,0,0
2,48,6,0.7111111111111111,0.9115239723596558,0.3778700940245816,0.9858949486539306,0,1,2,2,0,0,0,0
